OBJECTID_1,GEO_ID,COUNTYFIPS,NAME,COUNTY_NAME,PERCENT_DEPENDENT,NORM_DEPENDENCY,PERCENT_EDUCATION,NORM_EDUCATION,PERCENT_UNEMPLOYMENT,NORM_UNEMPLOYMENT,INCOME,NORM_INCOME,PERCENT_CROWDEDHOUSING,NORM_CROWDEDHOUSING,PERCENT_POVERTY,NORM_POVERTY,SUM_EHI,NORMALIZED_EHI,Shape__Area,Shape__Length
1,0500000US12001,1,Alachua,"Alachua County, Florida",32.53,0.213426609,6.8,5.905511811,4.8,18.75,37952,47.75300989,2.086607049,19.68432241,20.1,68.81188119,161.1181519,19.67260106,3337685713,299412.0313
2,0500000US12003,3,Baker,"Baker County, Florida",38.24,17.88034527,14.1,34.64566929,5.1,22.5,37041,51.3728295,2.039381153,19.13480925,11.7,27.22772277,172.7613761,23.28089743,2055318433,212487.5325
3,0500000US12005,5,Bay,"Bay County, Florida",38.77,19.5203921,9.9,18.11023622,4.6,16.25,35254,58.4733977,2.952758606,29.76272682,12.9,33.16831683,175.2850697,24.06300334,2714752816,604822.5151
4,0500000US12007,7,Bradford,"Bradford County, Florida",37.24,14.78762605,18,50,5,21.25,39064,43.33452537,2.419984387,23.56344911,19.4,65.34653465,218.2821352,37.38801996,1040509011,185072.1747
5,0500000US12009,9,Brevard,"Brevard County, Florida",41.95,29.3539811,7.5,8.661417323,4.8,18.75,39690,40.8471411,1.512834989,13.00800023,10.6,21.78217822,132.402718,10.77353713,3537822260,1106134.706
6,0500000US12011,11,Broward,"Broward County, Florida",37.92,16.88510518,10,18.50393701,6,33.75,29138,82.77506258,4.309563337,45.55029501,12.4,30.69306931,228.1574691,40.44843784,3937542990,295505.1582
7,0500000US12013,13,Calhoun,"Calhoun County, Florida",37.92,16.89800894,22.4,67.32283465,3.4,1.25,33412,65.79250606,2.269187987,21.80880572,18.2,59.40594059,232.478096,41.78742282,2005411386,220620.2586
8,0500000US12015,15,Charlotte,"Charlotte County, Florida",51.93,60.20248855,8.2,11.41732283,5.4,26.25,32938,67.67592482,1.38964413,11.57457061,10.5,21.28712871,198.4074355,31.22874606,2343859818,436127.3729
9,0500000US12017,17,Citrus,"Citrus County, Florida",51.03,57.42113763,10.1,18.8976378,7.7,55,41779,32.54658879,0.791276218,4.612054917,14.9,43.06930693,211.5467261,35.30068127,2091878778,515745.1139
10,0500000US12019,19,Clay,"Clay County, Florida",39.21,20.87028685,8.1,11.02362205,4.8,18.75,39572,41.31600906,1.46963866,12.50537448,9.6,16.83168317,121.2969756,7.331809198,2226773534,212494.7368
11,0500000US12021,21,Collier,"Collier County, Florida",49.19,51.75540463,10.5,20.47244094,4.2,11.25,34992,59.51444352,3.848130583,40.18113546,10.6,21.78217822,204.9556028,33.25805751,6548471332,561152.2007
12,0500000US12023,23,Columbia,"Columbia County, Florida",40.7,25.48733663,13.6,32.67716535,8.2,61.25,30312,78.11022371,3.000621891,30.31965652,14.4,40.59405941,268.4384416,52.93172297,2785036373,310254.6971
13,0500000US12027,27,DeSoto,"DeSoto County, Florida",40.84,25.90928709,25.2,78.34645669,9.4,76.25,24803,100,4.284426968,45.25781214,25.3,94.55445545,420.3180114,100,2101050823,187086.9868
14,0500000US12029,29,Dixie,"Dixie County, Florida",41.42,27.72583942,19.1,54.33070866,4.9,20,39990,39.65510391,5.139186296,55.20365834,15.7,47.02970297,243.9450133,45.34108078,2447682827,297329.8876
15,0500000US12031,31,Duval,"Duval County, Florida",36.89,13.70171242,9.5,16.53543307,5.1,22.5,34508,61.43759685,2.267136597,21.78493606,14.5,41.08910891,177.0487873,24.60958871,2959570985,279812.7575
16,0500000US12033,33,Escambia,"Escambia County, Florida",37.94,16.97071487,9.4,16.14173228,6.3,37.5,37751,48.55167481,1.707712822,15.27556828,14.5,41.08910891,175.5287992,24.13853639,2348106595,571589.5535
17,0500000US12035,35,Flagler,"Flagler County, Florida",47.3,45.9027595,7.6,9.05511811,3.7,5,29241,82.36579648,0.789167088,4.587513413,11.1,24.25742574,171.1686132,22.78729185,1738902751,187459.4568
18,0500000US12037,37,Franklin,"Franklin County, Florida",39.23,20.95529088,21.1,62.20472441,9.5,77.5,32962,67.58056185,1.55735907,13.52607548,19.1,63.86138614,305.6280388,64.45697461,1916844407,584475.9403
19,0500000US12039,39,Gadsden,"Gadsden County, Florida",39.91,23.03854414,19.2,54.72440945,4,8.75,32970,67.54877419,1.807343522,16.43485557,24.2,89.10891089,259.6054942,50.19434615,1847961730,231014.4258
20,0500000US12041,41,Gilchrist,"Gilchrist County, Florida",40.4,24.55239961,13.7,33.07086614,3.9,7.5,30050,79.15126952,2.267607749,21.79041832,12.2,29.7029703,195.7679239,30.41074753,1222358463,167635.6287
21,0500000US12043,43,Glades,"Glades County, Florida",41.65,28.42323511,30.6,99.60629921,9.1,72.5,35211,58.64425637,5.446194226,58.77595473,19.9,67.82178218,385.7715276,89.29386308,3227921883,265167.6879
22,0500000US12045,45,Gulf,"Gulf County, Florida",38.74,19.44216885,13.3,31.49606299,4.1,10,26361,93.80935352,2.065591593,19.43978984,9.8,17.82178218,192.0091574,29.24588603,1971316139,310175.8739
23,0500000US12047,47,Hamilton,"Hamilton County, Florida",36.95,13.89463603,24.1,74.01574803,11.3,100,33033,67.29844638,2.851711027,28.58695294,26.4,100,383.7957834,88.68156956,1816516517,260320.6863
24,0500000US12049,49,Hardee,"Hardee County, Florida",42.66,31.54462154,23.7,72.44094488,6.6,41.25,31904,71.78447968,8.989043825,100,26.2,99.00990099,416.0299471,98.67110634,2108954347,186868.1554
25,0500000US12051,51,Hendry,"Hendry County, Florida",40.31,24.27057931,30.7,100,6.1,35,34949,59.68530218,7.144528508,78.5375075,25.9,97.52475248,395.0181415,92.15943733,3865953768,325191.274
26,0500000US12053,53,Hernando,"Hernando County, Florida",45.48,40.26282714,11,22.44094488,6.3,37.5,33783,64.3183534,1.290347382,10.41916913,13.2,34.65346535,209.5947599,34.69575669,1643335250,241643.6535
27,0500000US12055,55,Highlands,"Highlands County, Florida",52.42,61.72514321,14.1,34.64566929,7.4,51.25,41225,34.74788413,2.799190486,27.97583212,15.9,48.01980198,258.3643307,49.80970306,3645181356,326078.6166
28,0500000US12057,57,Hillsborough,"Hillsborough County, Florida",36.58,12.75433134,10.9,22.04724409,5,21.25,29854,79.93006715,2.926706332,29.45958662,14,38.61386139,204.0550906,32.97898405,3574970319,522103.5408
29,0500000US12059,59,Holmes,"Holmes County, Florida",39.83,22.80966642,19.5,55.90551181,4.8,18.75,34270,62.38327969,2.187276626,20.8556979,18.8,62.37623762,243.0803934,45.07313055,1723859003,203309.8957
30,0500000US12061,61,Indian River,"Indian River County, Florida",48.91,50.87517766,8.9,14.17322835,6,33.75,32425,69.71430842,1.363270587,11.26769217,10.7,22.27722772,202.0576343,32.35996186,1703792486,338686.0474
31,0500000US12063,63,Jackson,"Jackson County, Florida",38.58,18.92108393,16.7,44.88188976,5.1,22.5,36621,53.04168157,2.236194318,21.42489653,18.1,58.91089109,219.6804429,37.82136286,3364218841,260315.4861
32,0500000US12065,65,Jefferson,"Jefferson County, Florida",40.29,24.22816534,16.2,42.91338583,6.2,36.25,27770,88.21075218,1.27919911,10.28944958,17.1,53.96039604,255.852149,49.03116472,2137500934,262723.6297
33,0500000US12067,67,Lafayette,"Lafayette County, Florida",35.34,8.901181664,26.3,82.67716535,5.9,32.5,36995,51.55560853,5.671761866,61.40062461,15,43.56435644,280.5989366,56.70032429,1899146696,221733.764
34,0500000US12069,69,Lake,"Lake County, Florida",45.64,40.77277889,9.6,16.92913386,6.1,35,37291,50.37946517,1.807902044,16.44135445,10.7,22.27722772,181.7999601,26.08200213,3910504798,372694.4986
35,0500000US12071,71,Lee,"Lee County, Florida",46.06,42.06413319,10.3,19.68503937,4.6,16.25,33313,66.18587833,2.344281582,22.68258308,12,28.71287129,195.5805053,30.35266551,2632890557,839263.3028
36,0500000US12073,73,Leon,"Leon County, Florida",32.46,0,6.8,5.905511811,6.2,36.25,31496,73.40565026,2.102364948,19.86767886,19.3,64.85148515,200.2803261,31.80916469,2453173418,277276.0086
37,0500000US12075,75,Levy,"Levy County, Florida",44.14,36.11520873,12.5,28.34645669,5.2,23.75,28346,85.92204077,3.096011132,31.42959085,18,58.41584158,263.9791386,51.54976153,3874436934,435885.9003
38,0500000US12077,77,Liberty,"Liberty County, Florida",32.82,1.111189398,23,69.68503937,7.7,55,31964,71.54607224,0.394910048,0,20.5,70.79207921,268.1343802,52.83749274,2936852365,346283.382
39,0500000US12079,79,Madison,"Madison County, Florida",39.41,21.48672829,19.5,55.90551181,3.9,7.5,38154,46.95037152,2.887750349,29.00630088,25.4,95.04950495,255.8984174,49.04550356,2501453473,249307.6077
40,0500000US12081,81,Manatee,"Manatee County, Florida",45.71,40.99198223,9.8,17.71653543,5.5,27.5,33621,64.96205348,2.235462772,21.41638438,10.4,20.79207921,193.3790347,29.67041823,2519700446,420431.6574
41,0500000US12083,83,Marion,"Marion County, Florida",47.33,46.00701446,11.7,25.19685039,6.9,45,38651,44.97556324,2.484756098,24.31712263,14.6,41.58415842,227.0807091,40.11474428,5677027352,389491.4906
42,0500000US12085,85,Martin,"Martin County, Florida",47.45,46.35757532,7.9,10.23622047,4.6,16.25,35899,55.91051774,1.249470563,9.943532848,10.5,21.28712871,159.9849751,19.32142361,2159782541,349486.2698
43,0500000US12086,86,Miami-Dade,"Miami-Dade County, Florida",36.66,12.9888092,17.5,48.03149606,5.1,22.5,40709,36.7981881,6.445019015,70.39812417,15.7,47.02970297,237.7463205,43.4200733,6352148994,756249.3525
44,0500000US12087,87,Monroe,"Monroe County, Florida",38.05,17.28972304,7.9,10.23622047,3.7,5,42740,28.72809632,4.301043308,45.45115728,11,23.76237624,130.4675733,10.17382564,3196857709,1831638.273
45,0500000US12089,89,Nassau,"Nassau County, Florida",42.19,30.11339462,8.5,12.5984252,4.8,18.75,38961,43.74379147,1.331757516,10.901011,9.6,16.83168317,132.9383055,10.93951851,2339701696,356195.8231
46,0500000US12091,91,Okaloosa,"Okaloosa County, Florida",38.2,17.76660724,7.1,7.086614173,3.9,7.5,33781,64.32630031,1.869535978,17.15851729,11,23.76237624,137.6004153,12.38433085,3302429757,420015.0878
47,0500000US12093,93,Okeechobee,"Okeechobee County, Florida",41.19,27.01399116,19.4,55.51181102,5,21.25,36907,51.90527278,5.732053535,62.10216906,19.8,67.32673267,285.1099767,58.09831933,2941250248,299005.6794
48,0500000US12095,95,Orange,"Orange County, Florida",34.13,5.169572058,10.5,20.47244094,5.7,30,32660,68.78054595,3.590003619,37.17761038,13.9,38.11881188,199.7189812,31.63520096,3383895776,309409.9496
49,0500000US12097,97,Osceola,"Osceola County, Florida",37.49,15.56571807,13.4,31.88976378,6,33.75,40107,39.1902094,3.80732779,39.70636053,13.5,36.13861386,196.2406656,30.55725268,5020215038,387830.2784
50,0500000US12099,99,Palm Beach,"Palm Beach County, Florida",42.98,32.53568669,10.9,22.04724409,6.1,35,40478,37.71605674,3.213971665,32.80216122,11.6,26.73267327,186.833822,27.6420224,7220767111,446956.0917
51,0500000US12101,101,Pasco,"Pasco County, Florida",42.61,31.39463049,9.5,16.53543307,5.4,26.25,41542,33.48829817,1.616525092,14.21452209,12.2,29.7029703,151.5858541,16.71849186,2567840898,268277.3713
52,0500000US12103,103,Pinellas,"Pinellas County, Florida",40.96,26.30376309,7.9,10.23622047,5,21.25,35090,59.1250447,1.965939432,18.28025284,11.5,26.23762376,161.4329049,19.77014465,971874158.5,769117.1483
53,0500000US12105,105,Polk,"Polk County, Florida",42.15,29.98236193,13.6,32.67716535,4.9,20,30369,77.88373664,3.263711697,33.38092847,14.6,41.58415842,235.5083508,42.72651473,6700068574,429383.4258
54,0500000US12107,107,Putnam,"Putnam County, Florida",44.49,37.21041793,18.2,50.78740157,9,71.25,49970,0,2.495372592,24.4406545,23.7,86.63366337,270.3221374,53.51549019,2843520194,264446.7146
55,0500000US12109,109,St. Johns,"St. Johns County, Florida",42,29.52031614,5.3,0,4.7,17.5,36645,52.94631859,0.967168549,6.658710643,7.7,7.425742574,114.051088,5.086270526,2284363875,397833.5099
56,0500000US12111,111,St. Lucie,"St. Lucie County, Florida",43.89,35.36357873,11.8,25.59055118,5.7,30,41888,32.11348194,2.112353297,19.98390174,11.8,27.72277228,170.7742859,22.66508773,1898036530,334898.0164
57,0500000US12113,113,Santa Rosa,"Santa Rosa County, Florida",38.08,17.3934828,7.7,9.448818898,4.9,20,39956,39.79020145,2.22258418,21.26653109,8.8,12.87128713,120.7703214,7.168596283,3607068262,449018.9939
58,0500000US12115,115,Sarasota,"Sarasota County, Florida",50.81,56.7513548,6.3,3.937007874,3.6,3.75,43272,26.61421703,1.348473363,11.09551398,8.1,9.405940594,111.5540343,4.312420469,1905090554,389730.55
59,0500000US12117,117,Seminole,"Seminole County, Florida",36.69,13.09946634,5.8,1.968503937,4.5,15,31772,72.30897604,2.475523934,24.20969862,9.5,16.33663366,142.9232786,14.03391418,1168120337,177066.7304
60,0500000US12119,119,Sumter,"Sumter County, Florida",64.8,100,7.7,9.448818898,5.5,27.5,30938,75.62283943,1.220683257,9.608568243,9.7,17.32673267,239.5069592,43.9657045,1958939915,255484.062
61,0500000US12121,121,Suwannee,"Suwannee County, Florida",41.86,29.07135733,17,46.06299213,5.3,25,36203,54.70258672,4.113127567,43.26459903,15.2,44.55445545,242.6559906,44.94160589,2408956793,251830.0514
62,0500000US12123,123,Taylor,"Taylor County, Florida",38.73,19.39338469,17.8,49.21259843,6.2,36.25,37143,50.96753685,2.778541953,27.73556902,18.2,59.40594059,242.9650296,45.03737868,3639076883,320033.0981
63,0500000US12125,125,Union,"Union County, Florida",35.3,8.778108136,22.7,68.50393701,3.4,1.25,37212,50.6933683,5.659448819,61.25735191,17,53.46534653,243.9481119,45.34204105,866033344.3,140451.9816
64,0500000US12127,127,Volusia,"Volusia County, Florida",42.13,29.91124709,8.8,13.77952756,4.2,11.25,43455,25.88707434,1.366327017,11.30325632,12.9,33.16831683,125.2994221,8.57218842,4112575629,676626.0751
65,0500000US12129,129,Wakulla,"Wakulla County, Florida",35.96,10.81904926,11.8,25.59055118,3.3,0,41072,35.3558231,2.618498136,25.87332413,6.2,0,97.63874767,0,2148534847,319586.0313
66,0500000US12131,131,Walton,"Walton County, Florida",40.11,23.67428743,8.7,13.38582677,4.6,16.25,31651,72.78976437,2.571068849,25.32144434,12.8,32.67326733,184.0945902,26.79312007,3758188629,432466.4959
67,0500000US12133,133,Washington,"Washington County, Florida",36.63,12.91720492,16.4,43.7007874,5.6,28.75,NA,198.5536615,2.055800294,19.32585981,22.3,79.7029703,382.950484,88.41960683,2161252985,272114.0387
