y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
19.2,0,3.85,66,9.35,5.65,2.4,3.25,0.33,19,0.065
18.3,0,3.73,79,11.15,6.95,3.15,3.8,0.36,21,0.076
17.1,0,3.88,73,9.4,5.75,2.1,3.65,0.4,18,0.073
17.3,0,3.86,99,12.85,7.7,3.9,3.8,0.35,22,0.076
16.8,0,3.98,75,8.55,5.05,2.05,3,0.49,12,0.06
16.5,0,3.85,61,10.3,6.2,2.5,3.7,0.38,20,0.074
15.8,0,3.93,66,4.9,2.75,1.2,1.55,0.29,11,0.031
15.2,0,3.66,86,6.4,4,1.5,2.5,0.27,19,0.05
15.2,0,3.91,78,5.8,3.3,1.4,1.9,0.4,9,0.038
14,0,3.47,178,3.6,2.25,0.75,1.5,0.37,8,0.03
14,0,3.91,81,3.9,2.15,1,1.15,0.32,7,0.023
13.8,0,3.75,108,5.8,3.2,1.6,1.6,0.38,8,0.032
13.6,0,3.9,92,5.4,2.85,1.55,1.3,0.44,6,0.026
12.8,0,3.92,96,5,2.7,1.4,1.3,0.35,7,0.026
18.5,1,3.87,89,9.15,5.6,1.95,3.65,0.46,16,0.073
17.3,1,3.97,59,10.25,6.1,2.4,3.7,0.4,19,0.074
16.3,1,3.76,22,8.2,5,1.85,3.15,0.25,25,0.063
16.3,1,3.76,77,8.35,5.05,1.9,3.15,0.37,17,0.063
16,1,3.98,58,10.15,6,2.6,3.4,0.38,18,0.068
16,1,3.88,85,6.85,4.1,1.5,2.6,0.33,16,0.052
15.7,1,3.75,120,8.8,5.5,1.85,3.65,0.39,19,0.073
15.5,1,3.98,94,5.45,3.05,1.5,1.55,0.41,8,0.031
15.3,1,3.69,122,8,5.05,1.9,3.15,0.27,23,0.063
15.3,1,3.77,144,5.6,3.35,1.1,2.25,0.36,12,0.045
14.8,1,3.74,10,7.9,4.75,1.95,2.8,0.25,23,0.056
14.3,1,3.76,100,5.55,3.25,1.15,2.1,0.34,12,0.042
14.3,1,3.91,73,4.65,2.7,0.95,1.75,0.36,10,0.035
14.2,1,3.6,301,4.25,2.4,1.25,1.15,0.42,6,0.023
14,1,3.76,104,8.7,5.1,2.25,2.85,0.34,17,0.057
13.8,1,3.9,67,7.4,4.4,1.6,2.8,0.45,13,0.056
12.5,1,3.8,89,5.35,3.15,1.2,1.95,0.32,12,0.039
11.5,1,3.65,192,6.35,3.9,1.25,2.65,0.63,8,0.053